date,num_employees,country,industry_code,amount_A,amount_B,amount_C,A_score,B_score,C_score,bankrupt
2019-01-01,56,EN,85,2149.39,1074.69,537.35,1,1,1,False
2019-01-01,82,CN,1,14432.49,14432.7,14432.67,3,3,3,False
2019-01-01,73,NL,3,8997.05,8997.22,8997.17,1,1,1,False
2019-01-01,63904,NL,44,14927.4,29855.57,44782.44,4,4,4,False
2019-01-01,22,NL,12,4334.13,4333.94,4333.99,3,3,3,False
2019-01-01,103,TR,54,285.64,1142.66,1713.89,5,5,5,False
2019-01-01,188,US,31,1071.14,535.57,267.77,4,4,4,False
2019-01-01,145,CN,21,6477.15,12954.76,25911.1,3,3,3,False
2019-01-01,11,NL,88,6776.05,13551.15,27106.0,3,3,3,False
2019-01-01,35,EN,90,23698.67,17776.92,11851.34,4,4,4,False
2019-01-01,406,TR,54,662.27,2649.1,3973.5,2,2,2,False
2019-01-01,9200,US,16,303.48,606.97,1213.92,2,2,2,False
2019-01-01,938,NL,69,785.57,3141.64,4713.39,3,3,3,False
2019-01-01,111,CN,50,617.77,617.87,617.89,1,1,1,False
2019-01-01,2936,EN,79,220.39,440.75,881.53,3,3,3,False
2019-01-01,2963,TR,7,941.2,941.27,941.39,1,1,1,False
2019-01-01,29,CN,60,1203.7,902.87,601.94,1,1,1,True
2019-01-01,13,CN,96,6339.07,6338.25,6338.44,3,3,3,False
2019-01-01,15349,TR,9,1169.11,1169.39,1169.35,4,4,4,False
2019-01-01,586,CN,97,2823.32,2117.49,1411.72,3,3,3,True
2019-01-01,18,EN,18,1280.38,2561.22,3841.88,1,1,1,False
2019-01-01,33,EN,13,5795.21,2897.12,1448.8,3,3,3,False
2019-01-01,9878,CN,66,4195.33,3147.67,2098.35,2,2,2,True
2019-01-01,2548,NL,54,62748.4,31376.5,15688.7,3,3,3,False
2019-01-01,84298,CN,60,5900.72,4424.07,2950.68,4,4,4,True
2019-01-01,274,NL,55,4092.05,8185.7,12278.77,2,2,2,False
2019-01-01,11,CN,62,6862.26,13719.85,27443.06,1,1,1,False
2019-01-01,4479,US,86,3465.01,1733.17,866.65,3,3,3,False
2019-01-01,31,EN,10,548.26,1096.21,2191.72,3,3,3,False
2019-01-01,58,CN,46,35159.89,35149.96,35156.7,2,2,2,False
2019-01-01,20,EN,5,1646.8,3293.38,6585.56,2,2,2,False
2019-01-01,50,TR,33,894.0,1788.11,3576.72,3,3,3,False
2019-01-01,21041,US,64,18664.76,9326.32,4665.73,5,5,5,False
2019-01-01,1022,NL,98,24869.44,24871.88,24866.64,4,4,4,False
2019-01-01,13,TR,88,6678.94,5008.58,3339.16,3,3,3,False
2019-01-01,1150,US,63,14912.31,11187.68,7458.95,4,4,4,False
2019-01-01,2013,TR,92,26743.79,26749.75,26729.68,1,1,1,False
2019-01-01,40869,EN,86,7131.31,28518.44,42769.81,2,2,2,False
2019-01-01,30214,US,81,1788.53,893.8,446.95,2,2,4,False
2019-01-01,12,TR,77,427.04,854.56,1709.22,3,3,3,False
2019-01-01,32882,NL,80,9773.2,19537.61,39072.25,4,4,4,True
2019-01-01,11,US,65,3796.02,15189.37,22783.9,2,2,2,False
2019-01-01,16,US,30,39466.14,29597.84,19739.65,2,2,2,False
2019-01-01,13,TR,82,3170.14,12678.55,19022.04,4,4,4,False
2019-01-01,18,CN,95,10858.82,10854.38,10851.9,3,3,3,False
2019-01-01,15364,NL,61,2178.47,1089.59,544.58,3,3,3,True
2019-01-01,3774,NL,53,1340.33,5363.11,8040.74,3,3,3,False
2019-01-02,3813,TR,91,19806.96,14852.58,9901.55,2,2,2,False
2019-01-02,63939,EN,7,18034.04,18035.68,18027.63,4,4,4,False
2019-01-02,120,EN,41,225.2,450.33,900.86,3,3,3,False
2019-01-02,11,CN,40,10001.3,10004.03,10001.71,2,2,2,False
2019-01-02,2168,CN,58,1388.39,693.51,347.17,5,5,5,False
2019-01-02,33429,TR,39,34946.85,26226.89,17479.21,1,1,1,True
2019-01-02,122418,EN,21,335.84,671.68,1343.42,3,3,3,True
2019-01-02,88,NL,23,455.78,911.14,1822.2,3,3,3,False
2019-01-02,19270,EN,37,564.93,564.6,564.24,1,1,1,True
2019-01-02,26665,TR,1,2461.03,4926.91,7390.21,1,1,1,False
2019-01-02,15,EN,40,135.43,271.12,541.99,2,2,2,False
2019-01-02,1964,US,18,2117.24,1058.76,529.56,3,3,3,False
2019-01-02,17,TR,1,1090.09,545.07,272.71,2,2,2,True
2019-01-02,222,US,91,10090.02,10097.09,10098.46,4,4,4,False
2019-01-02,38233,TR,95,8724.3,17448.47,26155.82,2,2,2,True
2019-01-02,13021,NL,61,28464.87,14232.45,7117.17,4,4,4,True
2019-01-02,948,TR,82,1491.59,5962.52,8951.08,2,2,2,False
2019-01-02,16401,TR,15,64086.96,32007.97,16019.52,1,1,1,False
2019-01-02,16,TR,93,14189.63,14182.97,14180.17,2,2,2,False
2019-01-02,20,TR,21,53918.46,26949.86,13484.63,4,4,4,False
2019-01-02,22,CN,13,1395.75,698.16,349.61,1,1,1,True
2019-01-02,11081,US,55,266.85,1067.62,1601.72,3,3,3,False
2019-01-02,43994,TR,64,2259.45,1695.37,1129.56,1,1,1,True
2019-01-02,867,TR,44,11096.0,22226.84,33294.86,3,3,3,False
2019-01-02,98298,CN,53,8332.87,6250.76,4167.88,5,5,5,False
2019-01-02,6235,EN,65,1029.25,2056.62,3088.18,3,3,3,False
2019-01-02,876,CN,85,815.14,813.94,815.08,3,3,3,False
2019-01-02,1549,CN,45,713.1,2852.88,4279.99,3,3,3,False
2019-01-02,26763,CN,32,7400.01,29599.29,44367.39,5,5,5,False
2019-01-02,12,TR,78,410.56,822.17,1232.55,4,4,4,False
2019-01-02,17,CN,49,1645.91,1647.95,1646.33,1,1,1,False
2019-01-02,34,CN,21,1626.66,1626.22,1625.47,2,2,2,False
2019-01-02,46052,CN,39,150.87,301.72,602.77,3,3,3,True
2019-01-02,84074,TR,38,1477.12,1108.97,739.23,3,3,3,True
2019-01-02,81,NL,40,1839.41,7355.86,11035.1,2,2,2,False
2019-01-02,65279,NL,74,2606.28,1303.73,651.03,3,3,3,True
2019-01-02,717,EN,67,617.39,2467.27,3704.22,3,3,3,False
2019-01-02,302,TR,6,29494.96,22113.93,14750.21,3,3,3,False
2019-01-02,21886,CN,84,5536.9,11080.18,16593.66,3,3,3,False
2019-01-02,711,CN,70,25380.18,19019.05,12670.66,5,5,5,False
2019-01-02,243,CN,3,3318.16,6633.47,13285.72,2,2,2,False
2019-01-02,11,NL,75,2381.45,2381.34,2377.36,4,4,4,False
2019-01-02,11,CN,90,11965.48,5982.95,2990.78,1,1,1,False
2019-01-02,1875,CN,58,366.91,733.08,1099.99,1,1,1,False
2019-01-02,12,NL,80,7029.43,14071.84,21079.0,5,5,5,False
2019-01-02,6938,CN,83,1309.32,654.26,327.43,3,2,3,True
2019-01-02,1761,EN,94,28895.25,28900.59,28916.03,3,3,3,False
2019-01-02,252,US,25,4273.64,8534.29,17084.19,3,3,3,False
2019-01-02,5012,EN,30,209.94,839.05,1258.18,2,2,2,False
2019-01-02,149780,TR,98,4600.76,9188.14,13798.98,3,3,3,False
2019-01-02,29,EN,72,2451.43,1837.59,1224.95,3,3,3,False
2019-01-02,810,EN,68,3483.42,6964.88,10464.54,3,3,3,False
2019-01-02,24702,NL,51,1301.06,975.59,650.04,2,2,2,False
2019-01-02,11,TR,71,39691.71,19817.36,9911.52,3,3,3,False
2019-01-02,21,EN,20,11543.82,8661.58,5775.08,3,3,3,False
2019-01-02,528,US,15,498.61,997.06,1494.79,5,5,5,False
2019-01-02,765,EN,50,21431.87,21448.1,21466.49,3,3,3,False
2019-01-02,12,CN,15,4804.48,4807.48,4808.88,3,3,3,False
2019-01-02,142,NL,17,17658.47,13233.14,8818.27,4,4,4,False
2019-01-02,521,CN,46,9414.93,18800.82,37665.6,3,3,3,False
2019-01-02,170,TR,55,4159.17,3118.94,2078.03,3,3,3,False
2019-01-02,4488,TR,27,293.3,587.98,1172.58,3,3,3,False
2019-01-02,10481,NL,81,16410.49,16388.57,16402.06,4,4,4,False
2019-01-02,260,EN,77,1376.02,1032.56,687.85,3,3,3,False
2019-01-02,175,TR,55,1717.99,1285.03,857.76,2,2,2,False
2019-01-02,4752,US,36,549.45,2198.21,3292.54,3,3,3,False
